OK Tokyo
OK Kyoto
OK lazy dog.
OK SHERLOCK
OK apple|orange|banana|grape|peach
OK [0-9a-fA-F]+
OK a*b
OK (a|b)*abb
OK This is a long prefix with a.*match
OK Target
OK ^abc
OK ^The quick
OK abc$
OK \babc\b
OK abc\b
OK ([a-zA-Z0-9_.+-]+)@([a-zA-Z0-9-]+\.[a-zA-Z0-9-.]+)
OK ^([a-zA-Z][a-zA-Z0-9+.-]*):(\/\/([^/?#]*))?([^?#]*)(\?([^#]*))?(#(.*))?
OK abc
OK (a|b)*c
OK [a-z]+
ERR (a
OK (?m)^abc$
OK a
OK (a)
OK (a)b
OK a(b)c
OK (a)(b)c
((a)(b)c)
OK (a|b)c
OK (a*)b
OK a*
OK a*?
OK a+
OK a+?
OK a*a
OK a*?a
OK a*(a)
OK a*?a
OK a*(a)
OK a*?(a)
OK (a*)
OK (a*?)
OK (a+)
OK (a+?)
OK (a*)a
OK (a*?)a
OK a|aa
OK aa|a
OK (a)|(aa)
OK (aa)|(a)
OK (a|ab)
OK (a|ab)b
OK a*(|(b))c*
OK ^(a)b$
OK ^(a)b
OK (a)b$
OK \b(abc)\b
OK $^
OK $
OK (.*)a
OK (.*?)a
OK (.*)
OK (.*?)
OK (.*).*
OK (([^xyz]*)(d))
OK (a*)(a*)
OK a(b*)
OK a(b*)b
ERR (|a)*
OK (a){0}
OK (a)?b
OK (?m)HTTP/1.1$
OK a+b
ERR \.+*?()|[]{}^$
OK a(n)
OK a*c|b*c
OK ca*|cb*
OK apple|orange|banana|grape|peach|melon|cherry|berry
OK (a|ab|abc|abcd|abcde|abcdef|abcdefg)*x|(a|ab|abc|abcd|abcde|abcdef|abcdefg)*y
MEM ([ab]*)a[ab]{20}b
OK ((a|b)*c)|((a|b)*d)|((a|b)*e)|((a|b)*f)|((a|b)*g)|((a|b)*h)
